10.97.8.89 | SUCCESS | rc=0 >>
    id     | sid  |  hid   | day | score | maxscore | lsn | fightn | winn | losen |         name          
-----------+------+--------+-----+-------+----------+-----+--------+------+-------+-----------------------
 581700386 |  385 | 620139 |   7 | 31613 |    31621 |   0 |     28 |  190 |    50 | [s536]SanityLost
     11998 |    7 | 620139 |   7 | 26877 |    26877 |   5 |     26 |  143 |    33 | [s1500]WiCkEdHoEs
    405081 | 4551 | 620139 |   7 | 23640 |    23640 |   9 |     26 |  122 |    13 | [s4991]GuerreirosZ
    221102 |  385 | 620139 |   7 | 22983 |    22991 |   0 |     18 |  109 |     5 | [s1052]WOOFMEOW
    402562 | 2275 | 620139 |   7 | 20869 |    20877 |   0 |     18 |  104 |    28 | [s2539]UNDERWORLD
 158253376 |    5 | 620139 |   7 | 19953 |    19953 |  16 |     41 |  101 |    23 | 兄弟齐心
    185685 | 5219 | 620139 |   7 | 19225 |    19225 |   1 |     58 |   94 |    26 | [s5514]TheFluck
    172640 | 2275 | 620139 |   7 | 18738 |    18738 |   0 |     21 |   97 |    87 | [s2598]GunsROSES
    734030 |    5 | 620139 |   7 | 18118 |    18134 |   0 |     32 |   89 |    45 | [s3673]DragonsLair
    356849 | 6694 | 620139 |   7 | 17390 |    17390 |   2 |     19 |   87 |    38 | [s6696]Ups
     25434 | 5219 | 620139 |   7 | 15977 |    15977 |   6 |     17 |   63 |     3 | [s5324]Lucifer
    307212 | 2275 | 620139 |   7 | 15074 |    15082 |   0 |     23 |   72 |    35 | [s7049]MxPURGATORYxM
     23535 |    5 | 620139 |   7 | 15016 |    15016 |   1 |      8 |   72 |    36 | [s3454]UnitedKillers
 210520796 |  385 | 620139 |   7 | 14511 |    14511 |   0 |     27 |   68 |    55 | [s1260]ABSOLUT
     32562 | 2275 | 620139 |   7 | 14343 |    14343 |   0 |      8 |   62 |    32 | [s2583]InFlaTioNaTion
    341295 |    7 | 620139 |   7 | 14315 |    14331 |   0 |      7 |   67 |    68 | [s1264]Lords
    570645 |  631 | 620139 |   7 | 14293 |    14311 |   0 |     17 |   65 |    99 | [s632]DeathDealers
    106601 | 5867 | 620139 |   7 | 14046 |    14046 |  15 |      0 |   57 |    11 | [s6467]RAGNAROK
     85615 | 5219 | 620139 |   7 | 13932 |    13932 |  11 |     28 |   54 |     7 | [s5462]FrikiTeam
     64875 | 4551 | 620139 |   7 | 13171 |    13189 |   0 |     16 |   55 |    48 | [s4769]misfits
    196755 | 6694 | 620139 |   7 | 13138 |    13138 |   0 |     20 |   56 |    32 | [s6662]Warpath
    490040 |    5 | 620139 |   7 | 12494 |    12494 |  12 |     12 |   49 |     8 | [s58]SuicideSquad
    713045 | 3050 | 620139 |   7 | 12434 |    12434 |   5 |      2 |   49 |    23 | [s3106]Agharta
    856343 | 5867 | 620139 |   7 | 12233 |    12233 |   0 |      0 |   48 |    31 | [s6220]ExpectoEscapo
    158002 |    4 | 620139 |   7 | 11674 |    11728 |   0 |     18 |   47 |    20 | [s7868]MostHated
    336893 | 6694 | 620139 |   7 | 11669 |    11669 |   0 |      0 |   46 |    26 | [s6633]SakuraScrolls
    334174 | 3050 | 620139 |   7 | 11575 |    11575 |   1 |     10 |   44 |    26 | [s4071]L么ﷺ丛凡FI厶
    225684 | 5219 | 620139 |   7 | 11472 |    11472 |   1 |     28 |   41 |    35 | [s5516]FUKCHEATERS
    371863 |  385 | 620139 |   7 | 11221 |    11221 |   0 |     30 |   37 |    81 | [s1830]NaDeShiKiTos
    150040 |    5 | 620139 |   7 | 11022 |    11022 |   7 |     22 |   43 |    32 | [s57]Indomaveis
    280938 |  631 | 620139 |   7 | 10975 |    10983 |   0 |      0 |   41 |    27 | [s965]Dear·Money
    485907 | 5867 | 620139 |   7 | 10759 |    10759 |   0 |      0 |   38 |    19 | 兄弟齐心
    623076 | 2502 | 620139 |   7 | 10730 |    10730 |   0 |     10 |   39 |    36 | [s3032]Naughtybunnies
   1717745 | 2502 | 620139 |   7 | 10687 |    10687 |   0 |      0 |   38 |    13 | [s7675]Targaryen
    395796 | 5219 | 620139 |   7 | 10687 |    10705 |   0 |      0 |   37 |    24 | [s5718]Scarlatta
  77444201 | 3050 | 620139 |   7 | 10681 |    10690 |   0 |     23 |   40 |    16 | 兄弟齐心
     26787 | 6694 | 620139 |   7 | 10681 |    10681 |   1 |      3 |   39 |    18 | [s6611]Overkill
   1885215 | 5219 | 620139 |   7 | 10624 |    10648 |   0 |     33 |   31 |    21 | [s5161]KAoS
    215565 | 5219 | 620139 |   7 | 10607 |    10607 |   3 |     25 |   36 |    10 | [s5401]Immortality
    272409 | 2275 | 620139 |   7 | 10604 |    10604 |   0 |      0 |   37 |    28 | [s2388]VaeVictis
     82173 |  385 | 620139 |   7 | 10543 |    10543 |  13 |      7 |   35 |     9 | [s2145]ELITEFDS
    273421 | 3050 | 620139 |   7 | 10534 |    10534 |   2 |     18 |   37 |    32 | [s3399]matadores
 184673003 | 2502 | 620139 |   7 | 10498 |    10498 |   5 |     29 |   38 |    26 | [s3010]GODS
     25182 | 4551 | 620139 |   7 | 10477 |    10477 |  12 |      9 |   34 |     2 | [s5112]Eclipse
    265566 | 5219 | 620139 |   7 | 10476 |    10476 |   1 |     21 |   36 |    27 | [s5466]丫OUR干UNERAL
 210440796 |  385 | 620139 |   7 | 10460 |    10532 |   0 |      0 |   39 |    31 | [s2115]Guardiao
    430774 |  631 | 620139 |   7 | 10433 |    10433 |   0 |      1 |   37 |    22 | [s756]smossth1
    344155 | 3050 | 620139 |   7 | 10412 |    10424 |   0 |      4 |   37 |    19 | [s4100]DEADorALIVE
     10367 |    7 | 620139 |   7 | 10410 |    10410 |   1 |      1 |   39 |    51 | [s359]ChiChihokrbar
     16286 | 5867 | 620139 |   7 | 10246 |    10246 |   1 |     49 |   35 |    12 | [s6091]Yonkous
     70004 |    4 | 620139 |   7 | 10211 |    10211 |   0 |      1 |   36 |    12 | [s1]NewEra
   3716694 | 6694 | 620139 |   7 | 10116 |    10116 |   0 |     10 |   32 |    39 | 兄弟齐心
     55327 | 5219 | 620139 |   7 |  9748 |     9748 |  15 |     36 |   33 |     6 | [s5179]YaKuZa
   4585867 | 5867 | 620139 |   7 |  9693 |     9693 |   1 |     14 |   31 |    56 | 兄弟齐心
    371283 |  385 | 620139 |   7 |  9622 |     9622 |   0 |     15 |   29 |    67 | [s1236]ArchEnemy
   3947201 | 2275 | 620139 |   7 |  9533 |     9533 |   1 |      0 |   30 |    29 | [s7166]KlownKillerz
 148113045 | 3050 | 620139 |   7 |  9199 |     9215 |   0 |     20 |   25 |     2 | [s3047]FluttershY
    353244 | 3050 | 620139 |   7 |  9154 |     9162 |   0 |     12 |   27 |    10 | [s3185]Olympians
 210903038 | 2502 | 620139 |   7 |  9132 |     9132 |   3 |      4 |   26 |    36 | [s3037]LosVagos
    320773 |  631 | 620139 |   7 |  9020 |     9020 |   2 |      4 |   25 |    35 | [s832]ShowTime
  81774078 | 3050 | 620139 |   7 |  8984 |     8993 |   0 |     19 |   26 |    48 | [s4085]AxemRangers
    353255 |    7 | 620139 |   7 |  8924 |     8942 |   0 |     11 |   24 |    18 | [s1617]HatedWarriors
 161863356 |    5 | 620139 |   7 |  8912 |     8912 |   0 |     30 |   14 |   142 | 兄弟齐心
    215426 | 5219 | 620139 |   7 |  8896 |     8896 |   0 |     10 |   23 |    49 | [s5186]Armageddon
 160393437 |    5 | 620139 |   7 |  8806 |     8814 |   0 |      6 |   22 |    73 | [s3394]Angeles
     88258 |  631 | 620139 |   7 |  8730 |     8730 |   6 |      4 |   26 |    14 | [s8103]Apocalypse
    764995 | 4551 | 620139 |   7 |  8588 |     8604 |   0 |      2 |   25 |    19 | [s4878]GetBent
    241907 |    7 | 620139 |   7 |  8567 |     8575 |   0 |      0 |   26 |    10 | [s1842]Mosqueteiros
     12600 | 2275 | 620139 |   7 |  8511 |     8529 |   0 |      1 |   23 |    25 | [s2281]xXxXx
   2176344 | 5867 | 620139 |   7 |  8475 |     8475 |   0 |     11 |   20 |   115 | [s6280]ThunderBros
   1282174 |  385 | 620139 |   7 |  8396 |     8396 |   0 |      5 |   23 |    43 | [s2154]Frost
    835414 | 5219 | 620139 |   7 |  8386 |     8386 |   1 |      0 |   21 |     7 | [s5251]Black·Demon
    362822 | 2275 | 620139 |   7 |  8338 |     8370 |   0 |      0 |   21 |    13 | [s2779]DivineFamily
    216040 | 5867 | 620139 |   7 |  8325 |     8325 |  19 |      0 |   19 |     1 | [s5908]TheElite
    380960 |  631 | 620139 |   7 |  8306 |     8306 |   3 |      6 |   22 |     6 | [s965]PROFECIA
     14761 | 4551 | 620139 |   7 |  8269 |     8269 |   1 |      9 |   16 |    66 | [s4608]OneForAll
